PiD,Lat_Y,Long_X,label,cluster
57,5.0,12.4336,Noise,-1
58,95.0,12.4824,Border,3
59,56.2781,12.5658,Core,1
60,62.90532143594034,12.583892661385855,Core,1
61,10.0821,12.8991,Noise,-1
62,63.685628990787336,12.91283196744985,Core,1
63,58.0803003240175,12.915320785185616,Core,1
64,72.0493,13.0202,Core,1
65,56.28395028403322,13.208856932082826,Core,1
66,64.52082652640571,13.312044759703298,Core,1
67,57.38606695801194,13.581506812612261,Core,1
68,47.6842,13.6259,Noise,-1
69,64.26173567924154,13.724277536173389,Core,1
70,70.2825,13.9272,Core,1
71,61.1821,13.9903,Core,1
72,93.8168,14.1237,Core,3
73,91.0084,14.249,Core,3
74,68.2287,14.8292,Core,1
75,24.6198,14.8731,Noise,-1
76,19.7583,15.2055,Noise,-1
77,64.8225,16.3489,Core,1
78,89.956,16.4232,Border,3
79,61.2407,17.1973,Core,1
80,72.5676,17.3956,Core,1
81,31.2377,17.4154,Noise,-1
82,11.7562,17.5864,Noise,-1
83,69.6944,17.6953,Core,1
84,30.5048,17.7799,Noise,-1
85,28.0103,17.837,Noise,-1
86,95.0,17.8645,Border,3
87,78.3257,17.9406,Noise,-1
88,72.6273,17.964,Core,1
89,6.6978,18.0318,Noise,-1
90,5.4977,18.3356,Noise,-1
91,33.1104,18.9107,Noise,-1
92,47.1251,18.9542,Border,4
93,84.3411,18.9959,Noise,-1
94,49.0368,20.4523,Border,4
95,74.5055,20.7089,Border,1
96,57.432,20.9889,Noise,-1
97,44.3478,21.0604,Core,4
98,13.3454,21.322,Noise,-1
99,93.0243,21.5324,Noise,-1
100,46.4267,21.6969,Core,4
101,64.1937,22.1159,Border,6
102,95.0,22.4646,Noise,-1
103,58.9696,23.5542,Noise,-1
104,33.0987,23.752,Noise,-1
105,88.2825,23.8131,Border,5
106,38.9501,23.92,Border,4
107,5.0,24.1628,Noise,-1
108,52.3772,24.5815,Noise,-1
109,44.63430154178071,24.61507218490494,Core,4
110,46.034782431911346,24.64169248031833,Core,4
111,12.9436,24.9559,Noise,-1
112,5.0,25.141,Noise,-1
113,5.0,25.1614,Noise,-1
114,84.4678,25.2277,Core,5
115,44.40813188618753,25.266065862587297,Core,4
116,45.87709754462082,25.314533326711732,Core,4
117,40.2473,25.3634,Core,4
118,85.1908,25.4986,Core,5
119,67.1309,25.5614,Core,6
120,46.1075954758687,25.585081756314512,Core,4
121,44.56977837739046,25.599050654044305,Core,4
122,46.04436144871929,25.715339768621096,Core,4
123,90.9919,25.7694,Noise,-1
124,45.88473437026667,26.014676690864587,Core,4
125,52.9672,26.048,Noise,-1
126,79.7112,26.0949,Border,5
127,45.58821408227823,26.351586555854897,Core,4
128,80.4958,26.39,Core,5
129,14.2328,26.6198,Noise,-1
130,77.5035,26.7339,Border,6
131,54.8205,26.9548,Noise,-1
132,44.09248759316098,27.105742566660382,Core,4
133,68.7094,27.1063,Core,6
134,30.1546,27.6667,Noise,-1
135,63.5478,27.68,Border,6
136,72.86,27.8835,Core,6
137,84.1477,28.4712,Border,5
138,64.726,29.1192,Border,6
139,95.0,29.1278,Noise,-1
140,5.9336,29.6861,Noise,-1
141,71.5869,30.136,Core,6
142,50.9159,30.8539,Noise,-1
143,69.6116,31.5277,Core,6
144,90.9094,31.959,Noise,-1
145,15.2541,31.9693,Noise,-1
146,88.6067,32.3932,Noise,-1
147,72.2199,32.8828,Core,6
148,26.6117,32.9123,Noise,-1
149,13.3946,33.2521,Noise,-1
150,73.4735,33.4806,Border,6
151,62.2519,33.5408,Noise,-1
152,22.5235,33.8206,Noise,-1
153,63.123,34.4884,Noise,-1
154,31.4726,35.5594,Noise,-1
155,5.0,35.6186,Noise,-1
156,68.3283,35.8199,Border,6
157,20.0094,36.6261,Noise,-1
158,27.4962,38.2803,Noise,-1
159,67.6441,39.2197,Noise,-1
160,5.0,39.7216,Noise,-1
161,77.0881,39.8373,Core,7
162,42.5751,40.0677,Noise,-1
163,21.6951,40.3256,Noise,-1
164,74.1884,40.4157,Core,7
165,95.0,40.6108,Noise,-1
166,77.5638,40.8309,Core,7
167,39.9089,41.1037,Border,9
168,12.0548,41.8838,Core,8
169,76.7169054311303,41.95422818833655,Core,7
170,63.4194,42.0176,Noise,-1
171,68.5338,42.1062,Noise,-1
172,16.4061,42.2116,Border,8
173,13.7046,42.2433,Core,8
174,54.0084,42.3885,Noise,-1
175,76.56526719512071,42.43851654728149,Core,7
176,77.16191666635545,42.45352181521609,Core,7
177,76.61067669599936,42.64349316255528,Core,7
178,85.9274,42.8397,Noise,-1
179,78.878439224272,42.859873996196185,Core,7
180,13.4723,43.0685,Core,8
181,78.6667967829822,43.21038548466206,Core,7
182,78.76558779626923,43.492916349933445,Core,7
183,78.78002619697635,43.638178479993485,Core,7
184,73.5882,43.8141,Core,7
185,78.31074990015092,43.973533294744854,Core,7
186,77.29946459236584,44.25814279150432,Core,7
187,58.4348,44.5733,Noise,-1
188,51.6567,44.7746,Border,9
189,37.3808,45.0499,Core,9
190,28.3371,45.0692,Border,9
191,25.8272,45.3912,Noise,-1
192,74.0842,45.4319,Core,7
193,11.351,45.5688,Core,8
194,47.7652,45.8277,Core,9
195,38.03461612299468,45.860275498162444,Core,9
196,38.78579629506072,45.886664153066235,Core,9
197,75.6933,46.0475,Core,7
198,40.3932,46.5578,Core,9
199,38.035823429562704,46.724442413272406,Core,9
200,36.46646250517529,47.02555886218647,Core,9
201,37.8058174071122,47.06840591510956,Core,9
202,37.08298002416493,47.47211953247686,Core,9
203,8.0958,47.5343,Border,8
204,35.729932143658395,47.73729160878143,Core,9
205,62.315,48.3504,Noise,-1
206,38.702358817673286,48.50833744134582,Core,9
207,30.1422,48.5485,Core,9
208,37.7076535153441,49.07714039709507,Core,9
209,45.4564903551902,49.132469684439705,Core,9
210,45.445810266117334,49.379847329946884,Core,9
211,44.473012293969916,49.43589393905833,Core,9
212,42.85928642884539,49.58045160432415,Core,9
213,44.159904394391745,49.61835356991945,Core,9
214,46.16686531306864,49.697359961146525,Core,9
215,35.01152461220182,49.699559983186596,Core,9
216,58.2461,49.7052,Noise,-1
217,43.6955917829707,49.71349089811136,Core,9
218,32.18636024712531,49.84328856084218,Core,9
219,66.7473,50.1297,Noise,-1
220,48.4689,50.2215,Core,9
221,22.1282,50.5193,Noise,-1
222,32.49242068073578,50.780580052175985,Core,9
223,44.20016667979418,50.81310507877413,Core,9
224,32.103760779326144,50.950658296849674,Core,9
225,11.9587,51.1505,Noise,-1
226,46.46706550392269,51.18976677488606,Core,9
227,34.1297,51.294,Core,9
228,31.530526279634675,51.415556880905534,Core,9
229,32.1918046611821,51.757897544477565,Core,9
230,57.8859,51.8036,Noise,-1
231,44.496039242683665,52.02951291876424,Core,9
232,32.320340576075154,52.24196923437297,Core,9
233,32.15278614106726,52.32667211644013,Core,9
234,33.02136259886328,52.79559654825365,Core,9
235,41.8807,52.9817,Core,9
236,31.722652281226928,53.21712607499667,Core,9
237,34.5759,53.2241,Core,9
238,32.41374091329538,53.98161156786899,Core,9
239,36.7825,54.6708,Core,9
240,82.8268,54.8249,Noise,-1
241,30.5469,55.2986,Core,9
242,63.3383,55.7154,Noise,-1
243,66.8138,56.1275,Noise,-1
244,11.2918,56.6797,Noise,-1
245,8.5268,57.0167,Noise,-1
246,24.9964,57.0586,Noise,-1
247,5.0,57.3621,Noise,-1
248,69.4083,57.4152,Noise,-1
249,48.8515,57.5031,Noise,-1
250,78.4528,57.8153,Noise,-1
251,38.5252,58.3011,Border,9
252,95.0,58.7074,Border,10
253,94.6075,58.8157,Border,10
254,27.0722,59.1991,Noise,-1
255,38.7737,59.4779,Noise,-1
256,71.7332,59.9006,Noise,-1
257,58.7214,60.3867,Noise,-1
258,5.0,60.7996,Noise,-1
259,91.7585,60.8627,Core,10
260,17.3717,61.3995,Noise,-1
261,39.2867,61.495,Noise,-1
262,57.5418,61.8337,Noise,-1
263,47.6109,61.8411,Noise,-1
264,55.5406,62.4452,Noise,-1
265,8.5461,62.4971,Noise,-1
266,85.9594,62.6805,Noise,-1
267,82.4794,63.4156,Noise,-1
268,86.7792,63.446,Noise,-1
269,59.8833,64.0781,Noise,-1
270,42.678,64.299,Noise,-1
271,94.8309,64.44,Border,10
272,68.0251,64.4663,Noise,-1
273,95.0,64.5355,Border,10
274,12.8594,65.1694,Noise,-1
275,84.4427,66.001,Noise,-1
276,25.8979,66.2211,Noise,-1
277,77.6758,67.0177,Noise,-1
278,27.0563,67.029,Noise,-1
279,14.1875,67.1972,Noise,-1
280,50.6493,67.7963,Border,11
281,25.3876,67.8367,Noise,-1
282,9.3268,67.9614,Noise,-1
283,75.4891,68.1421,Noise,-1
284,78.1998,68.4542,Noise,-1
285,42.8765,68.8145,Noise,-1
286,71.7886,69.6087,Noise,-1
287,87.5048,70.4482,Noise,-1
288,46.4674,70.5345,Border,11
289,54.0937,70.9132,Border,11
290,8.2459,70.9629,Noise,-1
291,88.9922,71.7177,Noise,-1
292,95.0,71.7276,Noise,-1
293,33.6474,72.257,Noise,-1
294,30.5587,72.4406,Noise,-1
295,56.3473,72.5346,Noise,-1
296,50.4113,72.6848,Core,11
297,79.6582,73.3656,Noise,-1
298,72.4071,74.6511,Border,12
299,61.1043,74.8065,Noise,-1
300,11.084,74.9032,Noise,-1
301,49.7051,75.043,Border,11
302,38.5617,75.5635,Border,13
303,73.5795,76.1517,Core,12
304,52.7318,76.3759,Border,11
305,62.309,76.3956,Noise,-1
306,28.3859,76.4751,Noise,-1
307,93.4181,76.6481,Border,14
308,74.8819,77.2355,Core,12
309,8.585,77.7442,Noise,-1
310,40.0748,77.9234,Core,13
311,70.5751,78.5627,Core,12
312,44.3679,80.0934,Core,13
313,73.6407,80.2171,Core,12
314,41.0429,80.2443,Core,13
315,46.3324,80.3403,Border,13
316,35.7323,80.5662,Noise,-1
317,91.4898,80.9022,Core,14
318,41.9198,81.6086,Core,13
319,79.3851,81.7395,Noise,-1
320,89.1761,81.8283,Core,14
321,41.3201,81.9858,Core,13
322,34.6309,82.0785,Noise,-1
323,5.0,82.1229,Noise,-1
324,64.6829,82.1847,Border,12
325,31.1002,82.3984,Border,15
326,16.9772,82.5622,Border,16
327,68.323,82.5933,Core,12
328,27.635,82.8157,Core,15
329,68.3298,82.9386,Core,12
330,91.589,83.0145,Core,14
331,73.8447,83.0519,Border,12
332,18.7715,83.0665,Border,16
333,45.2885,83.4511,Core,13
334,18.0825,83.6909,Border,16
335,70.8987,83.7661,Core,12
336,94.827,83.9733,Core,14
337,61.5024,84.4228,Noise,-1
338,57.4254,84.5769,Noise,-1
339,89.9142,84.871,Core,14
340,92.3768,85.1495,Core,14
341,95.0,85.453,Core,14
342,25.29890082987566,85.72866337633158,Core,15
343,26.3832535821208,86.18238627152859,Core,15
344,55.8467,86.303,Noise,-1
345,15.5141,86.4436,Core,16
346,92.4577,86.7413,Core,14
347,80.6227,86.8859,Noise,-1
348,26.52506805417339,86.9795119845118,Core,15
349,26.25714183729066,87.1085519952787,Core,15
350,26.129008379913465,87.1488473895918,Core,15
351,26.38105416870129,87.2270687733161,Core,15
352,82.3759,87.6268,Noise,-1
353,26.373492764911465,87.79581796208976,Core,15
354,25.55542785078425,87.86536234333452,Core,15
355,27.632151915551777,88.34586032253742,Core,15
356,24.65144166413026,88.44575107947986,Core,15
357,95.0,88.5264,Core,14
358,8.4955,88.549,Border,17
359,86.3915,89.0054,Noise,-1
360,33.198,89.286,Border,18
361,58.4252,89.3225,Noise,-1
362,48.3233,89.5174,Noise,-1
363,66.8025,89.614,Noise,-1
364,91.5268,90.5259,Core,14
365,11.994,91.0101,Core,17
366,46.2456,91.0952,Noise,-1
367,15.4471,91.1295,Border,17
368,90.3077,91.3228,Border,14
369,77.7753,91.4494,Noise,-1
370,57.9595,91.5026,Noise,-1
371,23.3056,92.0648,Core,15
372,23.3369,92.2319,Core,15
373,24.4911,92.3036,Core,15
374,40.5102,92.4794,Noise,-1
375,95.0,93.303,Core,14
376,90.1128,93.5351,Core,14
377,31.4892,93.6203,Core,18
378,35.181,93.735,Core,18
379,31.4857,93.8232,Core,18
380,78.6006,93.8393,Noise,-1
381,5.0,94.2904,Border,17
382,75.4677,94.8414,Noise,-1
383,47.7126,94.9679,Noise,-1
384,8.1541,95.0,Core,17
385,11.3015,95.0,Core,17
386,94.0382,95.0,Border,14
387,94.3461,95.0,Border,14
388,35.4748,95.0,Core,18
389,53.5727,95.0,Noise,-1
390,57.3016,95.0,Noise,-1
391,21.6798,95.0,Core,15
392,70.5104,95.0,Noise,-1
393,33.9128,95.0,Core,18
394,14.6812,95.0,Border,17
395,6.622,95.0,Core,17
396,24.7612,95.0,Core,15
397,65.6028,95.0,Noise,-1
398,26.163,95.0,Core,15
399,5.2475,95.0,Border,17
400,84.1528,95.0,Noise,-1
